ID,Site,Phorid,Crithidia,Apicystis,CBPV,DWV_KV_VDV,ABPV_KBV_IAPV,BQCV,SBPV,SBV,B-actin
B78,Laguna,0,1,1,0,0,0,0,1,1,1
B79,Laguna,0,1,0,1,0,0,0,1,1,1
B80,Laguna,0,1,0,0,0,0,0,1,1,1
B81,Laguna,0,1,1,1,0,1,0,1,1,1
B100,Mearth,1,1,0,1,0,1,0,1,1,1
B101,Mearth,1,1,1,1,0,0,0,1,0,1
B102,Mearth,1,0,0,1,0,1,0,1,1,1
B105,Mearth,1,1,0,1,0,1,1,0,1,1
B106,Mearth,0,0,0,1,0,1,0,1,1,1
B107,Mearth,0,0,0,1,0,0,0,0,0,1
B108,Mearth,0,0,0,1,0,0,0,0,0,1
B132,Mearth,0,1,1,1,0,1,0,1,1,1
B133,Mearth,0,1,0,1,0,0,0,1,0,1
B134,Mearth,0,1,1,1,0,1,0,1,0,1
B20,Mearth,1,1,0,1,0,1,0,0,1,1
B21,Mearth,1,0,0,1,0,1,0,1,1,1
B22,Mearth,1,1,0,1,0,1,1,1,1,1
B23,Mearth,1,1,0,1,0,1,0,1,1,1
B241,Mearth,1,1,0,1,0,0,0,1,0,1
B250,Mearth,1,1,0,1,0,0,0,1,0,1
B251,Mearth,0,1,0,0,0,0,0,1,0,1
B252,Mearth,1,1,0,1,,,,,,
B253,Mearth,1,1,0,1,0,0,0,1,0,1
B254,Mearth,1,1,1,1,0,0,0,1,0,1
B255,Mearth,0,0,0,1,1,0,0,1,0,1
B93,Mearth,1,1,0,1,0,0,0,1,1,1
B97,Mearth,1,1,0,1,0,0,0,0,1,1
B98,Mearth,0,1,0,1,0,0,0,1,0,1
B99,Mearth,1,1,0,1,0,0,0,1,0,1
B122,Prusch,0,1,0,0,1,0,0,0,0,1
B32,Prusch,0,0,1,1,0,0,0,0,1,1
B218,Salinas,0,1,1,1,0,1,0,1,1,1
B225,Salinas,1,1,0,1,0,0,0,1,1,1
B227,Salinas,0,0,0,1,0,0,0,1,1,1
B228,Salinas,0,1,0,1,0,1,0,1,1,1
B5,Salinas,0,0,1,1,0,0,0,0,1,1
B6,Salinas,0,0,1,0,0,0,0,0,1,1
B92,Salinas,0,0,1,0,0,0,1,0,1,1
B119,Seaside,1,1,0,0,0,0,0,0,0,1
B2,Seaside,0,0,0,1,0,1,0,0,1,1
B3,Seaside,1,0,0,1,0,1,0,0,1,1
B33,Seaside,0,0,0,1,0,0,0,0,1,1
B35,Seaside,0,0,1,1,0,1,0,0,1,1
B4,Seaside,1,1,1,0,0,0,0,0,1,1
B91,Seaside,1,0,1,0,0,0,0,0,0,1
B10,Watsonville,0,0,0,1,0,1,0,1,1,1
B109,Watsonville,0,0,0,1,0,0,0,1,1,1
B11,Watsonville,0,0,1,1,0,0,0,0,1,1
B110,Watsonville,0,0,1,1,0,1,1,0,1,1
B12,Watsonville,0,1,1,1,0,1,1,0,1,1
B13,Watsonville,0,0,0,1,0,0,0,1,1,1
B138,Watsonville,0,1,0,1,0,1,0,0,1,1
B139,Watsonville,0,1,1,1,0,0,0,1,1,1
B14,Watsonville,0,0,0,1,0,1,0,0,1,1
B140,Watsonville,0,1,1,0,0,0,0,1,0,1
B141,Watsonville,0,1,1,1,0,0,0,1,1,1
B15,Watsonville,0,0,0,1,0,1,0,1,1,1
B16,Watsonville,0,0,1,1,0,0,0,0,1,1
B162,Watsonville,0,0,0,0,0,0,0,0,0,1
B17,Watsonville,0,1,0,1,0,1,0,0,1,1
B174,Watsonville,0,0,0,1,0,1,0,0,1,1
B18,Watsonville,0,0,0,,,,,,,
B182,Watsonville,0,1,0,0,0,0,0,0,1,1
B189,Watsonville,0,0,0,1,0,0,0,0,0,1
B19,Watsonville,0,1,0,1,0,1,0,0,1,1
B190,Watsonville,0,1,0,1,0,0,0,0,0,1
B235,Watsonville,1,0,1,1,0,1,0,0,1,1
B242,Watsonville,0,1,0,1,0,0,0,1,1,1
B243,Watsonville,0,1,0,1,0,0,0,0,1,1
B244,Watsonville,0,0,1,1,0,0,0,1,1,1
B245,Watsonville,0,0,1,1,0,0,0,0,0,1
B246,Watsonville,0,0,0,1,0,0,0,1,1,1
B247,Watsonville,0,0,0,1,0,0,0,0,0,1
B248,Watsonville,0,1,0,,,,,,,
B285,Watsonville,0,0,1,,,,,,,
B7,Watsonville,0,0,0,1,0,1,0,0,1,1
B8,Watsonville,0,0,0,0,0,1,0,0,1,1
B86,Watsonville,0,0,0,0,0,0,0,1,1,1
B87,Watsonville,0,1,0,1,0,1,0,1,1,1
B88,Watsonville,0,1,0,0,0,0,0,0,0,1
B89,Watsonville,0,0,0,0,0,0,0,1,1,1
B9,Watsonville,0,0,0,1,0,1,0,1,1,1
B90,Watsonville,0,0,0,0,0,0,0,1,0,1
